标题,分类ID,内容,关键词,来源链接
燕山大学2026年本科新生入学须知,3,"一．入学报到
1.报到时间：2026年8月27日-28日，具体见下表。
时间 | 报到学院
8月27日 | 材料科学与工程学院、信息科学与工程学院、人工智能学院、经济管理学院、外国语学院、文法学院、理学院、车辆与能源学院、体育学院
8月28日 | 机械工程学院、电气工程学院、建筑工程与力学学院、马克思主义学院、环境与化学工程学院、艺术与设计学院、西里西亚智能科学与工程学院、欧洲学院
2.新生须同时持本人身份证、高考准考证和燕山大学《录取通知书》入学报到。
3.报到地点：具体报到地点请关注新生群信息。
4.入学乘车路线：
8月27日至8月28日8:00-18:00，学校安排大巴车免费在秦皇岛火车站迎新接站。
学校校园及周边不能满足大量车辆停放需求，为保障校园秩序和学生交通安全，建议乘坐公共交通工具或学校接站车辆来校报到。
如选择乘坐公共交通工具，请参考以下路线到达燕山大学：
东校区：
◆秦皇岛火车站：乘6路或34路公交车到燕山大学站下车，约需40分钟；乘坐出租车费用约25元；
◆北戴河火车站：乘6路公交车到燕山大学站下车，约需30分钟；乘坐出租车费用约25元；",,
燕山大学2026年本科新生入学须知,3,"◆山海关火车站：乘25路公交车到四道桥汽车站转乘6路、32路或34路公交车到燕山大学站下车，约需90分钟；乘坐出租车费用约65元；
◆北戴河机场：乘坐机场大巴至燕山大学站下车，学生凭录取通知书享受半价优惠（原价40元/人，优惠后20元/人），约需90分钟；乘坐出租车费用约175元，约需60分钟。
西校区：
◆秦皇岛火车站：乘27路公交车到经棉里站转乘41路公交车，到半岛书香（燕山大学西校区）站下车，约需50分钟；乘坐出租车费用约25元；
◆北戴河火车站：乘6路公交车到新世纪高级中学站转乘41路公交车，到半岛书香（燕山大学西校区）站下车，约需40分钟；乘坐出租车费用约25元；
◆山海关火车站：乘25路公交车到四道桥汽车站转乘6路公交车，到新世纪高级中学站转乘41路公交车，到半岛书香（燕山大学西校区）站下车，约需120分钟；乘坐出租车费用约70元；
◆北戴河机场：乘坐机场大巴至燕山大学站下车，学生凭录取通知书享受半价优惠（原价40元/人，优惠后20元/人），约需90分钟；乘坐出租车费用约175元，约需60分钟。
学校内有通勤车，新生可乘坐通勤车往返东、西校区。",,
燕山大学2026年本科新生入学须知,3,"5.因故不能按时报到者，请务必事先向所在学院办理请假手续，无故逾期两周不报到者，视为放弃入学资格。
二．财务缴费
1．缴费内容：
（1）学费：根据河北省教育收费改革部署，各专业按照下表明细收费。
专业名称 | 收费标准（元/年）
工商管理类、工业工程、经济与金融、大数据管理与应用、公共管理类、法学、汉语言文学、汉语国际教育、马克思主义理论、马克思主义理论（师范类） | 5060
机械设计制造及其自动化(卓越计划)、车辆工程(卓越计划)、自动化(卓越计划)、电子信息工程(卓越计划)、生物工程(卓越计划)、机械类、材料类、外国语言文学类、土木类、化工与制药类、能源动力类、机器人工程、材料成型及控制工程、电气工程及其自动化、测控技术与仪器、自动化、智能科学与技术、智能感知工程、智能医学工程、电子信息工程、通信工程、电子科学与技术、计算机科学与技术、人工智能、建筑学、工程力学、应用物理学（师范类）、应用物理学、信息与计算科学、统计学、环境工程、过程装备与控制工程、应用化学、工业设计、车辆工程、日语、德语、俄语、法语 | 5390
设计学类、舞蹈表演、音乐表演、社会体育指导与管理、运动康复 | 8000
软件工程 | 10000
工业工程(中外合作办学)（国内部分） | 25500
欧洲学院（机械设计制造及其自动化、电子科学与技术、自动化、电子科学与技术、化学工程与工艺）（国内部分） | 5390
西里西亚智能科学与工程学院（机械设计制造及其自动化、电子科学与技术、自动化、软件工程） | 72000",,
我校实行学分制收费，学生正常（不含重修）完成学业所缴纳的学费总额不会超出上述学年学费标准。,3,"（2）新生入学后以班级为单位现场自愿购买教材，届时请关注班级通知。
（3）住宿费：970元/人・年。
2026年学校代订的床上用品价格为391元/套。每套床上用品包括棉被一条、棉褥一条、被罩两个、床单两个、枕巾两条、枕芯一个、枕套两个、硬质棉床垫一个。学生自购自带的床上用品规格标准（建议）：棉被（2100mm×1480mm，2.5kg），棉褥（1950mm×900mm，1.25kg），床垫（1950mm×900mm×50mm，1.75kg），被罩、床单等按照棉被及棉褥规格配置。
新生购买床上用品时，要选择学校后勤管理处设置的张贴有产品质量合格报告及价格公示牌的场所，切记不要购买没有检验合格证明的产品。
（4）关于城乡居民基本医疗保险缴费事宜，新生入学后请关注班级通知。
2．缴费方式：
新生可通过线上完成缴费。
（1）移动端：登录“燕山大学迎新网站”（http://freshman.ysu.edu.cn），下载“今日校园APP”，按照操作说明登录“今日校园”，进入“移动迎新”，先选择“在线缴费”，再选择“缴费项目”，完成缴费支付操作。",,
我校实行学分制收费，学生正常（不含重修）完成学业所缴纳的学费总额不会超出上述学年学费标准。,3,"（2）PC端：登录燕山大学“一网通办”服务平台（https://ehall.ysu.edu.cn）（登录账号和密码同“今日校园”），搜索并点击进入“迎新服务”，先选择“在线缴费”，再选择“缴费项目”，完成缴费支付操作。
相关缴费说明可访问燕山大学迎新网站查询。
3.如果您办理了生源地信用助学贷款，请按以下信息办理汇款：
收款人：燕山大学，开户行：中国工商银行秦皇岛分行燕大支行，账号：0404321319300000651，行号：102126005082，并请在汇款备注栏中注明学生姓名及专业。
4.新生报到现场缴费地点：东校区世纪楼103室，缴费时间8:00-17:30。现场缴费方式：银行刷卡、微信扫码。
三．电子迎新
1.新生报到前需访问“燕山大学迎新网站”（http://freshman.ysu.edu.cn），下载并安装“今日校园”APP，登录后进入“移动迎新”，进行报到前的信息采集、到站登记等操作。报到当日，出示“今日校园”生成的迎新二维码，现场扫码报到。新生“今日校园”账号开通日期、激活方式及相关操作说明请关注燕山大学迎新网站。",,
我校实行学分制收费，学生正常（不含重修）完成学业所缴纳的学费总额不会超出上述学年学费标准。,3,"2.新生须于开学报到前通过“今日校园”APP的“优课”平台完成入学教育微课学习。具体学习安排及操作指南，请关注微信公众号“燕山大学学生工作处”。
3.新生需参加图书馆入馆培训，完成在线入馆承诺填报，通过后方可激活借书及预约座位权限。新生可于8月26日后登录读者教育系统进行在线学习和承诺填报。具体事宜届时请关注燕山大学图书馆主页——新闻公告（http://library.ysu.edu.cn）。
四．户口迁移
1.根据公安部户籍管理部门的有关规定，普通高等学校新生入学时，可自愿选择是否将其户口迁入学校。户口迁入仅限当年新生办理，过期视为自动放弃，之后不得再行户口迁入。秦皇岛市生源的学生（含各区县），其户口不迁入学校。
2.如将户口迁入学校，需于入学当年10月20日前提交以下材料于安全工作处101室：
（1）河北省内生源的学生，入学时须携带原家庭户口本中本人的户口页原件、录取通知书原件和复印件、身份证原件和复印件方可办理迁入登记手续。
（2）河北省外生源的学生，入学时携带户口迁移证原件、录取通知书原件和复印件、身份证原件和复印件方可办理迁入登记手续。",,
我校实行学分制收费，学生正常（不含重修）完成学业所缴纳的学费总额不会超出上述学年学费标准。,3,"3.户口迁移证上信息须填写完整，除“曾用名”一栏外不能有空白项：
（1）姓名、性别、民族、出生日期、身份证号码等信息，按照实际情况填写即可；
（2）“曾用名”一栏，如果有曾用名按实际情况填写，如果无曾用名，空白；
（3）籍贯、出生地：***省***市***县或***省***市***区；
（4）文化程度：高中或本科；
（5）职业：学生；
（6）婚姻状况：未婚或已婚，已婚的入学时提供结婚证复印件；
（7）迁移原因应填写为：“大中专招生”或“大学以上学校招生”；
（8）原住址：……后必须有（城镇/乡村）字样；
（9）迁移地址：河北省秦皇岛市海港区河北大街西段169号，填写其它地址不能落户；
（10）备注栏：必须填写身高、血型，可以自行用铅笔备注；
（11）所有项目纸质版信息必须和电子版信息保持一致，纸质版迁移证上不能有变更，如有错误，先在原户籍地将信息变更后，再开具户口迁移证到学校落户。
五．党团组织关系
1.党员组织关系",,
我校实行学分制收费，学生正常（不含重修）完成学业所缴纳的学费总额不会超出上述学年学费标准。,3,"党员组织关系一般应通过“全国党员管理信息系统”进行转接。目标单位：中共燕山大学**学院委员会（所考取学院），转接原因注明：2026级新生党员。对于通过“全国党员管理信息系统”转接确有困难的（仅限河北省外），党员本人须提供纸质版组织关系介绍信。介绍信抬头单位：中共燕山大学**学院委员会（所考取学院）。
2.团组织关系：在入学报到时直接与各学院辅导员联系。
六.感悟燕大历史
燕山大学校史陈列馆于2020年学校百年校庆之际正式开馆，现已接待了各界参观者超9万人次，成为了学校展现办学历程、宣传办学成果的窗口载体，传承精神文化、涵养家国情怀的育人基地，凝聚师生情感、承载校友记忆的精神家园。欢迎2026级新同学们在正式报到之前登录燕山大学校史馆官网观看视频，一同走进“有场景、有科技、有故事、有情怀”的校史陈列馆，追寻燕大校史、感悟燕大精神、弘扬燕大文化。
七．特别提示
1.关于注册
每学期开学初，学生应当在2周内持有效证件到学院办理注册手续，以取得本学期的学习资格。因故不能按时注册的，应当履行暂缓注册手续。不符合注册条件或者不缴纳学费的，不予注册。逾期2周无故未办理注册手续的学生，按退学处理。
2．关于转专业",,
我校实行学分制收费，学生正常（不含重修）完成学业所缴纳的学费总额不会超出上述学年学费标准。,3,"根据《燕山大学本科生转专业管理办法》规定，本着以学生为本、因材施教的原则，学生可在第二学年开学初提交转专业申请，拟转入专业所在学院对申请转专业的学生进行考核，按考核成绩择优转入。
3.关于学制与学习年限
我校本科生实行弹性学习年限制度，4年制专业最短学习年限3年，最长学习年限6年（含休学、保留学籍等情形，其中服兵役、经学校批准的自主创业保留学籍期间不计入学习年限，下同）；5年制专业最短学习年限4年，最长学习年限7年。第二学士学位专业学制固定为2年，不设置弹性学习年限，学习年限不予延长，亦不实行留（降）级制度。超过最长学习年限者按规定作永久结业处理。请全体新生合理规划学业进程，确保按期毕业。
4．关于国家助学贷款
请有助学贷款需求的家庭经济困难学生在入学前申请办理生源地信用助学贷款。生源地信用助学贷款是国家信用助学贷款的重要组成部分，享有国家信用助学贷款优惠政策。详细政策可向当地教育局学生资助管理中心咨询。
5．关于家庭经济特殊困难学生绿色通道",,
我校实行学分制收费，学生正常（不含重修）完成学业所缴纳的学费总额不会超出上述学年学费标准。,3,"为切实保证家庭经济特殊困难学生顺利入学，我校设立了新生绿色通道，家庭经济特殊困难新生持《家庭经济困难学生认定申请表》（随录取通知书寄送）可以申请缓交学费，先办理入学手续。办理了生源地信用助学贷款的新生，也可持相关证明材料通过绿色通道入学。
6．关于脱贫户（原河北省建档立卡家庭）经济困难学生资助
脱贫户（原河北省建档立卡家庭）经济困难学生（不包括中外合作办学、产教深度融合校企合作等高收费专业）享受“三免一助”（免收学费、免收住宿费、免费提供教科书，享受国家助学金），河北省生源新生如果是脱贫户（原河北省建档立卡家庭）经济困难学生且非就读中外合作办学、产教深度融合校企合作等高收费专业，在“今日校园”注册时请务必填写是建档立卡家庭经济困难学生，暂缓缴纳学住费，报到时持《扶贫手册》通过绿色通道办理入学，待入学后由学校统一收取相关材料进行审核，审核通过后学校将对学住费进行减免，审核未通过的补交学住费。
7.关于购买电动自行车",,
